Issue_ID,Issue_Description,Error_Message,System_Specs,Troubleshooting_Steps
125.0,Windows update failed to install,Error 0x80070005,Windows 10 Version 1903,1. Restart your PC and try updating again. 2. Run the Windows Update Troubleshooter. 3. Check your internet connection. 4. Disable your antivirus temporarily. 5. Free up disk space.
126.0,Web pages not loading correctly in Chrome,,Windows 10 Version 2004,Chrome Version 88.0.4324.190 1. Clear Chrome's cache and cookies. 2. Disable browser extensions to see if they might be causing an issue. 3. Update your browser to the latest version. 4. Try viewing the page in a different browser.
127.0,Outlook crashes when sending email,Error 0xc0000005,Office 365 Windows 10,1. Check for updates and install if any available. 2. Repair the Office app through the Control Panel. 3. Disable add-ins in Outlook. 4. Reinstall the Outlook app.
128.0,Blue Screen of Death (BSOD) on startup,Stop Code: 0x0000007E,Windows 10 Version 21H1,1. Boot into Safe Mode and uninstall recent updates. 2. Check for driver updates and install them. 3. Run a full system antivirus scan. 4. Perform a System Restore to a previous stable state.
129.0,Microsoft Edge crashes when opening multiple tabs,,Windows 11 Microsoft Edge Version 97.0.1072.62,1. Update Microsoft Edge to the latest version. 2. Disable unnecessary extensions. 3. Clear browsing data. 4. Create a new user profile in Edge.
130.0,Unable to activate Windows,Error 0xC004F074,Windows 10 Version 20H2,1. Check your internet connection. 2. Run the Windows Activation Troubleshooter. 3. Verify that you are using a valid product key. 4. Contact Microsoft Support for further assistance.
131.0,Office Excel crashes when opening large spreadsheets,,Office 2019 Windows 10,1. Install the latest updates for Office. 2. Disable unnecessary add-ins. 3. Increase available memory on the system. 4. Open the spreadsheet in Excel Online for testing.
132.0,Windows Search not working,,Windows 10 Version 1909,1. Restart Windows Search service. 2. Rebuild the search index. 3. Check for Windows updates. 4. Run the System File Checker (SFC).
133.0,Taskbar icons missing,,Windows 10 Version 21H1,1. Restart Windows Explorer in Task Manager. 2. Rebuild the icon cache. 3. Check for Windows updates. 4. Perform a system file check.
134.0,Microsoft Store not opening,,Windows 11 Version 21H2,1. Reset Microsoft Store using WSReset command. 2. Check for Windows updates. 3. Reinstall Microsoft Store using PowerShell. 4. Create a new user account and test Store functionality.
135.0,Printer not working after Windows update,,Windows 10 Version 1903,1. Check for printer driver updates. 2. Remove and reinstall the printer. 3. Run the Printer Troubleshooter. 4. Verify printer connectivity and power.
136.0,Cortana not responding,,Windows 10 Version 21H2,1. Restart Windows Explorer. 2. Check for Windows updates. 3. Re-register Cortana using PowerShell. 4. Create a new user account to test Cortana functionality.
137.0,WiFi connection drops frequently,,Windows 11 Version 21H2,1. Update network drivers. 2. Change WiFi channel settings. 3. Disable power-saving mode for the network adapter. 4. Reset TCP/IP stack.
138.0,USB device not recognized,,Windows 10 Version 2004,1. Try the USB device on another port. 2. Update USB drivers. 3. Check for Windows updates. 4. Test the USB device on another computer.
139.0,Windows Explorer crashes frequently,,Windows 10 Version 21H1,1. Run the System File Checker (SFC). 2. Check for Windows updates. 3. Disable third-party shell extensions. 4. Create a new user account to test Explorer stability.
140.0,Battery not charging after Windows update,,Windows 10 Version 1909,1. Check for battery driver updates. 2. Perform a power cycle on the laptop. 3. Check for Windows updates. 4. Run the Power Troubleshooter.
141.0,Microsoft Word crashes on startup,,Office 2016 Windows 10,1. Update Microsoft Word to the latest version. 2. Disable unnecessary add-ins. 3. Repair the Office installation. 4. Test on another user profile.
142.0,Windows Hello not working,,Windows 10 Version 21H1,1. Update the graphics driver. 2. Reconfigure Windows Hello settings. 3. Check for Windows updates. 4. Run the Windows Update Troubleshooter.
143.0,External hard drive not recognized,,Windows 10 Version 20H2,1. Test the external drive on another computer. 2. Change the USB cable. 3. Update USB drivers. 4. Run the Hardware and Devices Troubleshooter.
144.0,Audio not working after Windows update,,Windows 10 Version 21H2,1. Update audio drivers. 2. Check audio settings in Control Panel. 3. Run the Windows Audio Troubleshooter. 4. Check for Windows updates.
145.0,Microsoft Teams crashes during meetings,,Windows 11 Microsoft Teams Version 2.12.4,1. Update Microsoft Teams to the latest version. 2. Check for graphics driver updates. 3. Disable hardware acceleration in Teams settings. 4. Run the Teams diagnostic tool.
146.0,Windows Firewall blocking network access,,Windows 10 Version 1903,1. Check Windows Firewall rules. 2. Disable third-party firewall software temporarily. 3. Reset Windows Firewall settings to default. 4. Check for malware using Windows Defender.
147.0,OneDrive not syncing files,,Windows 10 Version 2004,1. Update OneDrive to the latest version. 2. Check for conflicts in file names. 3. Reset OneDrive settings. 4. Check for Windows updates.
148.0,VPN connection issues,,Windows 10 Version 21H1,1. Update VPN client software. 2. Check network adapter settings. 3. Test on a different network. 4. Disable firewall temporarily for testing.
149.0,Bluetooth not working after Windows update,,Windows 11 Version 21H2,1. Update Bluetooth drivers. 2
150.0,Internet Explorer not opening websites,,Windows 10 Version 1903,1. Check for Windows updates. 2. Reset Internet Explorer settings. 3. Disable unnecessary add-ons. 4. Test with another browser to isolate the issue.
151.0,Microsoft OneNote synchronization issues,,Office 365 Windows 10,1. Update OneNote to the latest version. 2. Check for notebook synchronization conflicts. 3. Reset OneNote cache. 4. Verify Microsoft account credentials.
152.0,Windows 10 automatic updates not working,,Windows 10 Version 20H2,1. Restart the Windows Update service. 2. Run Windows Update troubleshooter. 3. Check available disk space. 4. Manually install pending updates from the Microsoft Update Catalog.
153.0,Microsoft Edge PDF viewer not working,,Windows 11 Microsoft Edge Version 99.0.1150.38,1. Clear browser cache. 2. Update Microsoft Edge to the latest version. 3. Disable PDF viewer extensions. 4. Test with an alternative PDF viewer.
154.0,Windows 10 screen brightness not adjusting,,Windows 10 Version 21H1,1. Update graphics drivers. 2. Check for power plan settings. 3. Disable adaptive brightness. 4. Run the Power Troubleshooter in Settings.
155.0,Microsoft Word document formatting issues,,Office 2016 Windows 10,1. Update Microsoft Word to the latest version. 2. Check document styles and formatting. 3. Disable third-party add-ins. 4. Repair the Office installation.
156.0,Windows 11 File Explorer crashes,,Windows 11 Version 22H2,1. Run System File Checker (SFC). 2. Check for Windows updates. 3. Disable preview pane in File Explorer. 4. Perform a clean boot to identify conflicting processes.
157.0,Microsoft Outlook not receiving emails,Error 0x80042108,Office 365 Windows 10,1. Check internet connection. 2. Verify email account settings. 3. Disable antivirus email scanning temporarily. 4. Repair the Outlook data file.
158.0,Windows 10 Sleep mode issues,,Windows 10 Version 21H2,1. Update graphics and chipset drivers. 2. Check power plan settings. 3. Disable hybrid sleep. 4. Run the Power Troubleshooter in Settings.
159.0,Microsoft Teams microphone not working,,Windows 10 Version 21H2,1. Check microphone permissions in Teams. 2. Update audio drivers. 3. Test the microphone in another application. 4. Restart the computer and Teams application.
160.0,Windows Defender blocking harmless program,,Windows 10 Version 21H1,1. Check for false positives in Windows Defender. 2. Exclude the program from Windows Defender scans. 3. Submit the file to Microsoft for analysis. 4. Disable real-time protection temporarily.
161.0,Microsoft Excel file won't open,Error 0xc0000142,Office 2019 Windows 10,1. Repair the Excel installation. 2. Check for updates in Excel. 3. Disable Excel add-ins. 4. Test opening the file on another computer.
162.0,Windows 10 Bluetooth pairing issues,,Windows 10 Version 21H2,1. Update Bluetooth drivers. 2. Restart Bluetooth services. 3. Remove and re-pair Bluetooth devices. 4. Run the Bluetooth Troubleshooter in Settings.
163.0,Microsoft Surface Pen not working,,Windows 10 Version 21H1,1. Check Surface Pen battery. 2. Update Surface device firmware. 3. Reconnect Surface Pen through Bluetooth settings. 4. Test Surface Pen on another Surface device.
164.0,Windows 11 Taskbar not responding,,Windows 11 Version 22H2,1. Restart Windows Explorer. 2. Check for Windows updates. 3. Disable third-party Taskbar customization tools. 4. Perform a clean boot to identify conflicting processes.
165.0,Microsoft Edge not playing videos,,Windows 10 Version 21H2,Microsoft Edge Version 100.0.1183.49 1. Clear browser cache and cookies. 2. Disable hardware acceleration in browser settings. 3. Update graphics drivers. 4. Test videos in another browser.
166.0,Windows 10 microphone not working,,Windows 10 Version 20H2,1. Check microphone permissions in Settings. 2. Update audio drivers. 3. Test the microphone on another device. 4. Run the Windows Audio Troubleshooter.
167.0,Microsoft PowerPoint slides not advancing,,Office 365 Windows 10,1. Check for updates in PowerPoint. 2. Verify slide show settings. 3. Disable third-party PowerPoint add-ins. 4. Test on another user profile.
168.0,Windows 11 Alt+Tab not working,,Windows 11 Version 22H2,1. Check for conflicting keyboard shortcuts. 2. Restart Windows Explorer. 3. Verify Alt+Tab settings in Taskbar settings. 4. Test on another user account.
169.0,Microsoft Outlook calendar not syncing,Error 0x80004005,Office 365 Windows 10,1. Check internet connection. 2. Verify Outlook account settings. 3. Re-add the Outlook account. 4. Repair the Outlook data file.
170.0,Windows 10 touchpad gestures not working,,Windows 10 Version 21H2,1. Update touchpad drivers. 2. Check touchpad settings in Windows. 3. Restart the computer. 4. Run the Hardware Troubleshooter in Settings.
171.0,Microsoft Edge not saving bookmarks,,Windows 11 Microsoft Edge Version 101.0.0.0,1. Clear browser cache. 2. Sign in to Microsoft Edge with a Microsoft account. 3. Reset browser settings to default. 4. Update Microsoft Edge to the latest version.
172.0,Windows 11 automatic restarts after updates,,Windows 11 Version 22H2,1. Adjust active hours in Windows Update settings. 2. Defer feature updates temporarily. 3. Check for pending updates and install them. 4. Run Windows Update troubleshooter.
173.0,Microsoft Word document spell check not working,,Office 2019 Windows 10,1. Check language settings in Word. 2. Enable automatic spell check. 3. Update Microsoft Word to the latest version. 4. Repair the Office installation.
